strength_bars,normalized_string,skill,last_practiced,strength,word_string
4,Shui Jue ,Daily Routine 1,2023-12-17T21:59:52Z,0.997749,睡觉
4,Wo ,Name,2023-12-17T21:59:52Z,0.999987,我
4,Peng You ,People 1,2023-12-17T21:59:52Z,0.999987,朋友
4,He ,Family 1,2023-12-17T21:59:52Z,0.999987,和
4,Chi ,Food 1,2023-12-17T21:59:52Z,0.999987,吃
4,Wu Fan ,Daily Routine 1,2023-12-17T21:59:52Z,0.998737,午饭
4,Shi ,Numbers,2023-12-17T21:59:52Z,0.999987,十
4,Zuo Tian ,Time 2,2023-12-17T21:59:52Z,0.999987,昨天
4,Wan Shang ,Time 2,2023-12-17T21:59:52Z,0.999987,晚上
4,[?] ,Numbers,2023-12-17T21:59:52Z,0.999987,一
4,Xing Qi ,Time 1,2023-12-17T21:59:52Z,0.999987,星期
4,Dian ,Time 1,2023-12-17T21:59:52Z,0.999987,点
4,Ge ,Family 1,2023-12-17T21:59:52Z,0.999987,个
4,Xia ,Time 2,2023-12-17T21:59:52Z,0.993821,下
4,Cong ,Daily Routine 1,2023-12-17T21:59:52Z,0.991732,从
4,Ma Ma ,Family 1,2023-12-16T22:53:50Z,0.999985,妈妈
4,De ,Contact,2023-12-16T22:53:50Z,0.999985,的
4,Ba Ba ,Family 1,2023-12-16T22:53:50Z,0.999985,爸爸
4,Bu ,Food 1,2023-12-16T22:53:50Z,0.999985,不
4,Xue Sheng ,Occupation,2023-12-16T22:53:50Z,0.999985,学生
4,Zuo ,Daily Routine 1,2023-12-16T22:53:50Z,0.890132,做
4,Qi Chuang ,Daily Routine 1,2023-12-16T22:53:50Z,0.942684,起床
4,Ban ,Time 1,2023-12-16T22:53:50Z,0.999985,半
4,Wo Men ,Occupation,2023-12-16T22:53:50Z,0.999985,我们
4,Jin Tian ,Greeting 3,2023-12-16T22:53:50Z,0.999985,今天
4,Shang Ban ,Daily Routine 1,2023-12-16T22:53:50Z,0.890132,上班
4,Zao Fan ,Daily Routine 1,2023-12-16T22:53:50Z,0.890132,早饭
3,Shang Xue ,Daily Routine 1,2023-12-16T22:53:50Z,0.731856,上学
4,Liu ,Numbers,2023-12-16T22:53:50Z,0.999985,六
4,Zui ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,最
4,Yin Le ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,音乐
4,Ying Yu ,Phrases 2,2023-12-16T22:46:34Z,0.999985,英语
4,Xi Huan ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,喜欢
4,Ni ,Greeting 1,2023-12-16T22:46:34Z,0.999985,你
4,Ta ,Occupation,2023-12-16T22:46:34Z,0.999985,他
4,Kan ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,看
4,Shu ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,书
4,Ting ,Hobbies 1,2023-12-16T22:46:34Z,0.999985,听
4,Shui ,Family 1,2023-12-16T22:46:34Z,0.999985,谁
4,Ai ,Family 1,2023-12-16T22:46:34Z,0.999985,爱
4,Shi Yao ,Name,2023-12-16T22:46:34Z,0.999985,什么
4,Tiao Wu ,Hobbies 1,2023-12-15T22:50:49Z,0.999982,跳舞
4,Chang ,Hobbies 1,2023-12-15T22:50:49Z,0.999982,唱
4,Du ,Nationality,2023-12-15T22:50:49Z,0.999982,都
4,Hui ,Hobbies 1,2023-12-15T22:50:49Z,0.999982,会
4,Ge ,Hobbies 1,2023-12-15T22:50:49Z,0.999982,歌
4,Yi Yu ,Phrases 2,2023-12-15T22:50:49Z,0.999982,汉语
4,Lao Shi ,Occupation,2023-12-15T22:50:49Z,0.999982,老师
4,Ma ,Occupation,2023-12-15T22:50:49Z,0.999982,吗
4,Ni Men ,Occupation,2023-12-14T22:05:39Z,0.999979,你们
4,Hai Zi ,Family 2,2023-12-14T22:05:39Z,0.999979,孩子
4,Ta ,Occupation,2023-12-14T22:05:39Z,0.999979,她
4,Shi ,Occupation,2023-12-13T14:51:46Z,0.999975,是
4,Nu ,People 1,2023-12-13T14:51:46Z,0.999975,女
4,Piao Liang ,People 1,2023-12-13T14:51:46Z,0.999975,漂亮
4,Zhe ,Family 1,2023-12-13T14:51:46Z,0.999975,这
4,Dian Nao ,Hobbies 1,2023-12-13T14:51:46Z,0.999975,电脑
4,Wan ,Hobbies 1,2023-12-13T14:51:46Z,0.957333,玩
4,You Xi ,Hobbies 1,2023-12-13T14:51:46Z,0.957333,游戏
4,Ta Men ,Occupation,2023-12-13T14:51:46Z,0.999975,他们
4,Fan ,Food 1,2023-12-12T22:20:27Z,0.999972,饭
4,Zai ,Hobbies 1,2023-12-12T22:20:27Z,0.806343,在
4,Zuo ,Time 2,2023-12-12T22:20:27Z,0.999972,做
3,Wan Fan ,Daily Routine 1,2023-12-08T22:02:55Z,0.596532,晚饭
1,Xia Ban ,Daily Routine 1,2023-12-07T20:45:20Z,0.091395,下班
1,Fang Xue ,Daily Routine 1,2023-12-07T20:45:20Z,0.091395,放学
1,Hui ,Daily Routine 1,2023-12-07T20:45:20Z,0.091395,回
4,Mei ,Time 2,2023-12-02T16:24:43Z,0.999871,每
4,Tian ,Time 2,2023-12-02T16:24:43Z,0.769771,天
4,Dian Hua ,Contact,2023-11-30T12:53:15Z,0.999822,电话
4,Jia Ren ,Family 1,2023-11-30T12:53:15Z,0.999822,家人
4,Ming Tian ,Time 1,2023-11-30T12:53:15Z,0.999822,明天
4,Nian ,Time 1,2023-11-29T22:04:01Z,0.999804,年
4,Qi ,Numbers,2023-11-29T22:04:01Z,0.999804,七
4,Ji ,Time 1,2023-11-29T22:04:01Z,0.999804,几
4,Er ,Numbers,2023-11-29T22:04:01Z,0.999804,二
4,Xian Zai ,Time 1,2023-11-29T22:04:01Z,0.999804,现在
4,Tian ,Time 1,2023-11-29T22:04:01Z,0.999804,天
4,Ri ,Time 1,2023-11-29T22:04:01Z,0.999804,日
4,Hao ,Time 1,2023-11-29T22:04:01Z,0.999804,号
4,Yue ,Time 1,2023-11-29T22:04:01Z,0.999804,月
4,Ba ,Numbers,2023-11-29T22:04:01Z,0.999804,八
4,0,Time 1,2023-11-29T22:04:01Z,0.999804,〇
4,Ming ,Name,2023-11-25T20:58:40Z,0.999641,明
4,Li ,Name,2023-11-25T20:58:40Z,0.999641,李
4,Ming Zi ,Name,2023-11-25T20:58:40Z,0.999641,名字
4,Qian Mian ,Location 3,2023-11-23T20:01:05Z,0.999513,前面
4,Qing ,Phrases 2,2023-11-23T20:01:05Z,0.999513,请
2,Wang ,Location 3,2023-11-23T20:01:05Z,0.478831,往
4,You Bian ,Location 3,2023-11-23T20:01:05Z,0.785868,右边
4,Zai ,Location 1,2023-11-23T20:01:05Z,0.999513,在
2,Na Li ,Location 3,2023-11-23T20:01:05Z,0.252672,哪里
1,Zhe Li ,Location 3,2023-11-23T20:01:05Z,0.193987,这里
2,Na Li ,Location 3,2023-11-23T20:01:05Z,0.252672,那里
4,Hou Mian ,Location 3,2023-11-21T23:30:37Z,0.771464,后面
4,Jia ,Location 1,2023-11-21T23:30:37Z,0.999357,家
3,Pang Bian ,Location 3,2023-11-21T23:30:37Z,0.641051,旁边
4,Xi Shou Jian ,Location 2,2023-11-21T23:30:37Z,0.999357,洗手间
1,Zuo Bian ,Location 3,2023-11-21T16:42:31Z,0.223708,左边
4,Mao ,Family 2,2023-11-21T16:42:31Z,0.999329,猫
4,You ,Family 1,2023-11-20T21:30:31Z,0.999243,有
4,Hao ,Greeting 1,2023-11-20T21:30:31Z,0.999243,好
4,Zhe Er ,Location 2,2023-11-20T21:30:31Z,0.999243,这儿
4,Ke Ai ,People 1,2023-11-20T21:30:31Z,0.999243,可爱
4,Hen ,Greeting 2,2023-11-20T21:30:31Z,0.999243,很
4,Shuo ,Phrases 2,2023-11-20T21:30:31Z,0.999243,说
4,[?] Dian Er ,Telephone,2023-11-20T21:30:31Z,0.999243,一点儿
4,Ming Bai ,Telephone,2023-11-20T21:30:31Z,0.999243,明白
4,Kuai ,Telephone,2023-11-20T21:30:31Z,0.999243,快
4,Mei ,Family 1,2023-11-20T21:30:31Z,0.999243,没
4,Na Er ,Location 2,2023-11-20T21:30:31Z,0.999243,那儿
4,Man ,Telephone,2023-11-20T21:30:31Z,0.999243,慢
4,De ,Telephone,2023-11-20T21:30:31Z,0.999243,得
4,Gou ,Family 2,2023-11-20T21:30:31Z,0.999243,狗
4,Zai Jian ,Greeting 1,2023-11-18T23:10:11Z,0.998989,再见
4,Jiu ,Numbers,2023-11-18T23:10:11Z,0.998989,九
4,Er Zi ,Family 2,2023-11-16T20:35:08Z,0.998614,儿子
4,Dui Bu Qi ,Phrases 1,2023-11-13T20:02:05Z,0.997821,对不起
4,Niu Nai ,Drink,2023-11-13T19:57:33Z,0.99782,牛奶
4,Si ,Numbers,2023-11-13T19:57:33Z,0.99782,四
4,Yi Sheng ,Occupation,2023-11-13T19:55:33Z,0.997819,医生
4,Mian ,Food 1,2023-11-12T09:46:54Z,0.997302,面
4,Hui ,Time 2,2023-11-12T09:46:54Z,0.997302,会
4,Ling ,Numbers,2023-11-12T09:46:54Z,0.997302,零
4,Jian ,Greeting 4,2023-11-12T09:46:54Z,0.997302,见
